 Experimental ID,Genome assembly,Track type class,Track type,Cell type class,Cell type,Cell type description,"Processing logs of ChIP, ATAC, DNase-seq (# of reads, % mapped, % duplicates, # of peaks [Q < 1E-05])",Title,"Processing logs of Bisulfite-seq (# of reads, % mapped, � coverage, # of hyper MR)",Meta data submitted by authors,,,,
SRX4745247,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"30044039,95.5,11.6,968",GSM3402725: ZNF597 ChIP-seq; Homo sapiens; ChIP-Seq,source_name=transduced 293T cell line,host cell line=HEK 293T,transduced kzfp=ZNF597,"chip antibody=Anti-HA (clone 16B12, Covance)",,
SRX4745248,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"32780316,97.6,4.7,1148",GSM3402726: ZNF215 ChIP-seq; Homo sapiens; ChIP-Seq,source_name=transduced 293T cell line,host cell line=HEK 293T,transduced kzfp=ZNF215,"chip antibody=Anti-HA (clone 16B12, Covance)",,
SRX4745249,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"32490735,94.8,9.5,1048",GSM3402727: 293Tctrl ChIP-seq; Homo sapiens; ChIP-Seq,source_name=transduced 293T cell line,host cell line=HEK 293T,transduced kzfp=293Tctrl,"chip antibody=Anti-HA (clone 16B12, Covance)",,
SRX4745250,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"32817202,97.1,14.7,1080",GSM3402728: ZNF746 Ti ChIP-seq; Homo sapiens; ChIP-Seq,source_name=transduced 293T cell line,host cell line=HEK 293T,transduced kzfp=ZNF746_Ti,"chip antibody=Anti-HA (clone 16B12, Covance)",,
SRX4745251,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"37733398,97.7,10.5,1136",GSM3402729: 293Tctrl Ti ChIP-seq; Homo sapiens; ChIP-Seq,source_name=transduced 293T cell line,host cell line=HEK 293T,transduced kzfp=293Tctrl_Ti,"chip antibody=Anti-HA (clone 16B12, Covance)",,
SRX4819826,hg38,TFs and others,MED26,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"27687998,89.5,17.0,1241",GSM3424035: 293T Med26 ChIP Rep1; Homo sapiens; ChIP-Seq,source_name=293T_Med26_ChIP,cell line=HEK293T,"chip antibody=anti-MED26 H-228, Santa Cruz sc-48776 X",,,
SRX4819827,hg38,TFs and others,MED26,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"27784793,89.9,6.3,1438",GSM3424036: 293T Med26 ChIP Rep2; Homo sapiens; ChIP-Seq,source_name=293T_Med26_ChIP,cell line=HEK293T,"chip antibody=anti-MED26 H-228, Santa Cruz sc-48776 X",,,
SRX488710,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"8721934,96.7,3.4,518",GSM1347963: sgRNA1-replica1; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney,cell line=HEK 293T,passage=17-21,chip antibody=HA(abcam #9110),,
SRX488711,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"12416980,96.1,8.2,545",GSM1347964: sgRNA2-replica1; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney,cell line=HEK 293T,passage=17-21,chip antibody=HA(abcam #9110),,
SRX488712,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"12466595,96.2,10.8,570",GSM1347965: sgRNA3-replica1; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney,cell line=HEK 293T,passage=17-21,chip antibody=HA(abcam #9110),,
SRX488713,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"10612847,94.2,2.2,578",GSM1347966: sgRNA1-replica2; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney,cell line=HEK 293T,passage=17-21,chip antibody=HA(abcam #9110),,
SRX488714,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"10904022,95.5,1.5,546",GSM1347967: sgRNA2-replica2; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney,cell line=HEK 293T,passage=17-21,chip antibody=HA(abcam #9110),,
SRX488715,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"10475165,94.9,2.0,490",GSM1347968: sgRNA3-replica2; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney,cell line=HEK 293T,passage=17-21,chip antibody=HA(abcam #9110),,
SRX488716,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"8855209,92.8,2.1,2363",GSM1347969: sgRNA4; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney,cell line=HEK 293T,passage=17-21,chip antibody=HA(abcam #9110),,
SRX488717,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"5993795,90.5,7.9,342",GSM1347970: sgRNA5; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney,cell line=HEK 293T,passage=17-21,chip antibody=HA(abcam #9110),,
SRX488718,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"7513613,92.6,6.0,8029",GSM1347971: sgRNA6; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney,cell line=HEK 293T,passage=17-21,chip antibody=HA(abcam #9110),,
SRX488719,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"6944465,96.3,4.5,395",GSM1347972: dCas9 only; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney,cell line=HEK 293T,passage=17-21,chip antibody=HA(abcam #9110),,
SRX4957970,hg38,TFs and others,TERF1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"33874175,95.6,91.2,221",GSM3452674: HHV6-GFP TRF1 ChIPSeq; Homo sapiens; ChIP-Seq,source_name=HHV6-GFP cells,infection=HHV6 infected,cell type=HEK293 cells,"chip antibody=TRF1 (GeneTex, cat#32935)",,
SRX4957972,hg38,TFs and others,TERF2,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"41322401,95.0,90.1,286",GSM3452676: HHV6-GFP TRF2 ChIPSeq; Homo sapiens; ChIP-Seq,source_name=HHV6-GFP cells,infection=HHV6 infected,cell type=HEK293 cells,"chip antibody=TRF2 (GeneTex, cat#13579)",,
SRX497255,hg38,TFs and others,CTCF,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"24295071,77.0,70.2,9061",GSM1354438: CTCF ChIPSeq Control; Homo sapiens; ChIP-Seq,source_name=BEAS-2B cells,treatment=none,"chip antibody=CTCF (Active Motif, 61311)",,,
SRX497256,hg38,TFs and others,CTCF,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"26518982,80.2,57.4,18575",GSM1354439: CTCF ChIPSeq Nickel; Homo sapiens; ChIP-Seq,source_name=BEAS-2B cells,treatment=NiCl2,"chip antibody=CTCF (Active Motif, 61311)",,,
SRX4994038,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"28341835,89.2,9.0,1359",GSM3463651: FlagCDC20 CHIP rep1; Homo sapiens; ChIP-Seq,source_name=HEK 293T cells,cell line=HEK 293T,overexpression=FlagCDC20,chip antibody=Flag M2 (Sigma F1804),,
SRX4994040,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"18708362,91.2,6.3,653",GSM3463653: FlagWDR5-ChIP; Homo sapiens; ChIP-Seq,source_name=HEK 293T cells,cell line=HEK 293T,overexpression=FlagWDR5,chip antibody=Flag M2 (Sigma F1804),,
SRX4994042,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"40812440,94.2,58.4,984",GSM3463655: FlagCDC20 CHIP rep2; Homo sapiens; ChIP-Seq,source_name=HEK 293T cells,cell line=HEK 293T,overexpression=FlagCDC20,chip antibody=Flag M2 (Sigma F1804),,
SRX502808,hg38,TFs and others,HIRA,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"41336770,96.1,7.2,2597",GSM1358813: HIRA Prolif ChIP; Homo sapiens; ChIP-Seq,source_name=Fibroblasts,cell line=IMR90,"chip antibody=HIRA (approximately equimolar mixture of WC15, WC19, WC117, WC 119)",cell state=proliferating,,
SRX502810,hg38,TFs and others,HIRA,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"37132068,92.7,7.2,2561",GSM1358815: HIRA RS ChIP; Homo sapiens; ChIP-Seq,source_name=Fibroblasts,cell line=IMR90,"chip antibody=HIRA (approximately equimolar mixture of WC15, WC19, WC117, WC 119)",cell state=senescent,,
SRX502812,hg38,TFs and others,HIRA,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"46293949,92.6,49.7,3888",GSM1358817: HIRA OIS Control ChIP; Homo sapiens; ChIP-Seq,source_name=Fibroblasts,cell line=IMR90,"chip antibody=HIRA (approximately equimolar mixture of WC15, WC19, WC117, WC 119)",,,
SRX502814,hg38,TFs and others,HIRA,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"49281179,93.3,49.6,4328",GSM1358819: HIRA OIS ChIP; Homo sapiens; ChIP-Seq,source_name=Fibroblasts,cell line=IMR90,"chip antibody=HIRA (approximately equimolar mixture of WC15, WC19, WC117, WC 119)",cell state=senescent,,
SRX514564,hg38,TFs and others,DICER1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"27767440,6.0,32.7,114",GSM1366345: DICER ChIP; Homo sapiens; ChIP-Seq,source_name=HEK 293 cells,cell line=HEK 293,dicer status=wt,chip antibody=Dicer,,
SRX5255096,hg38,TFs and others,CDK9,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"42568795,96.0,23.7,1525",GSM3564786: ChIPSeq.CDK9 T1 mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T1 mutant,antibody=CDK9,,
SRX5255097,hg38,TFs and others,CDK9,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"42209894,95.4,32.6,1307",GSM3564787: ChIPSeq.CDK9 T2 mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T2 mutant,antibody=CDK9,,
SRX5255098,hg38,TFs and others,CDK9,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"47568865,96.4,24.0,1504",GSM3564788: ChIPSeq.CDK9 T3 mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T3 mutant,antibody=CDK9,,
SRX5255099,hg38,TFs and others,CDK9,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"58095894,98.2,10.1,1643",GSM3564789: ChIPSeq.CDK9 WT ENL; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged wild type human ENL,antibody=CDK9,,
SRX5255100,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"71607516,97.3,18.2,1588",GSM3564790: ChIPSeq.HEK293 WT ENL B; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged wild type human ENL,"antibody=Flag M2, Sigma F1804",,
SRX5255101,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"62880686,97.4,11.5,1591",GSM3564791: ChIPSeq.HEK293 T1 mut C; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T1 mutant,"antibody=Flag M2, Sigma F1804",,
SRX5255102,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"68788471,97.5,14.6,1603",GSM3564792: ChIPSeq.HEK293 T1 Y78A mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T1-Y78A double mutant,"antibody=Flag M2, Sigma F1804",,
SRX5255103,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"72912339,96.7,19.4,1776",GSM3564793: ChIPSeq.HEK293 T2 B mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T2 mutant,"antibody=Flag M2, Sigma F1804",,
SRX5255104,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"82872696,97.0,17.4,1903",GSM3564794: ChIPSeq.HEK293 T2 Y78A mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T2-Y78A double mutant,"antibody=Flag M2, Sigma F1804",,
SRX5255105,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"68043038,96.8,17.6,1637",GSM3564795: ChIPSeq.HEK293 T3 B mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T3 mutant,"antibody=Flag M2, Sigma F1804",,
SRX5255106,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"69951070,97.0,15.5,1649",GSM3564796: ChIPSeq.HEK293 T3 Y78A mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T3-Y78A double mutant,"antibody=Flag M2, Sigma F1804",,
SRX5255107,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"63931469,94.8,13.7,1633",GSM3564797: ChIPSeq.HEK293 vec; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing empty vector,"antibody=Flag M2, Sigma F1804",,
SRX5255108,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"59955976,96.6,14.8,1501",GSM3564798: ChIPSeq.HEK293 Y78A B mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL Y78A mutant,"antibody=Flag M2, Sigma F1804",,
SRX5255109,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"75093254,94.6,16.6,1736",GSM3564799: ChIPSeq.HEK293 F ENL; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged wild type human ENL,"antibody=Flag M2, Sigma F1804",,
SRX5255110,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"74852492,93.4,18.2,1892",GSM3564800: ChIPSeq.HEK293 F T1 mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T1 mutant,"antibody=Flag M2, Sigma F1804",,
SRX5255111,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"86431056,94.2,22.3,2515",GSM3564801: ChIPSeq.HEK293 F T2 mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T2 mutant,"antibody=Flag M2, Sigma F1804",,
SRX5255112,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"82360591,94.9,20.8,2635",GSM3564802: ChIPSeq.HEK293 F T3 mut; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,treatment=Expressing Flag-tagged human ENL T3 mutant,"antibody=Flag M2, Sigma F1804",,
SRX527871,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"37891620,96.9,6.8,1147",GSM1375029: HBG TALE VP64 ChIPseq Rep1; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-TALE-VP64,guide rna=HBG1/2,chip antibody=anti-HA (Covance MMS-101P),,
SRX527872,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"10039414,84.1,4.8,307",GSM1375020: IL1RN Cas9 VP64 ChIPseq Rep1; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-Cas9-VP64,guide rna=IL1RN,chip antibody=anti-HA (Covance MMS-101P),,
SRX527873,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"20891492,92.0,14.1,537",GSM1375021: IL1RN Cas9 VP64 ChIPseq Rep2; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-Cas9-VP64,guide rna=IL1RN,chip antibody=anti-HA (Covance MMS-101P),,
SRX527874,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"18735968,99.7,9.3,103",GSM1375022: IL1RN Cas9 VP64 ChIPseq Rep3; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-Cas9-VP64,guide rna=IL1RN,chip antibody=anti-HA (Covance MMS-101P),,
SRX527875,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"13332395,92.3,24.7,485",GSM1375023: IL1RN TALE VP64 ChIPseq Rep1; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-TALE-VP64,guide rna=IL1RN,chip antibody=anti-HA (Covance MMS-101P),,
SRX527876,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"18661995,94.8,16.7,409",GSM1375024: IL1RN TALE VP64 ChIPseq Rep2; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-TALE-VP64,guide rna=IL1RN,chip antibody=anti-HA (Covance MMS-101P),,
SRX527877,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"19477622,92.7,29.5,393",GSM1375025: IL1RN TALE VP64 ChIPseq Rep3; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-TALE-VP64,guide rna=IL1RN,chip antibody=anti-HA (Covance MMS-101P),,
SRX527878,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"7722427,92.3,2.2,254",GSM1375026: HBG Cas9 VP64 ChIPseq Rep1; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-Cas9-VP64,guide rna=HBG1/2,chip antibody=anti-HA (Covance MMS-101P),,
SRX527879,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"32722081,95.8,29.4,725",GSM1375027: HBG Cas9 VP64 ChIPseq Rep2; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-Cas9-VP64,guide rna=HBG1/2,chip antibody=anti-HA (Covance MMS-101P),,
SRX527880,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"12778330,95.1,6.9,234",GSM1375028: HBG Cas9 VP64 ChIPseq Rep3; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-Cas9-VP64,guide rna=HBG1/2,chip antibody=anti-HA (Covance MMS-101P),,
SRX527881,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"22652743,98.1,17.6,470",GSM1375030: HBG TALE VP64 ChIPseq Rep2; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-TALE-VP64,guide rna=HBG1/2,chip antibody=anti-HA (Covance MMS-101P),,
SRX527882,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"11235823,92.3,9.5,316",GSM1375031: HBG TALE VP64 ChIPseq Rep3; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=HA-TALE-VP64,guide rna=HBG1/2,chip antibody=anti-HA (Covance MMS-101P),,
SRX527883,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"42927854,98.7,30.6,949",GSM1375032: GFP ChIPseq Rep1; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=GFP,guide rna=None,chip antibody=anti-HA (Covance MMS-101P),,
SRX527884,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"23296102,97.8,16.0,670",GSM1375033: GFP ChIPseq Rep2; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=GFP,guide rna=None,chip antibody=anti-HA (Covance MMS-101P),,
SRX527885,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"64667276,85.1,34.1,1154",GSM1375034: GFP ChIPseq Rep3; Homo sapiens; ChIP-Seq,source_name=Cultured HEK293T cells,transfected gene=GFP',guide rna=None,chip antibody=anti-HA (Covance MMS-101P),SRX528309,hg38
SRX5289960,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"99745941,79.1,21.5,36274",GSM3579032: GR-IA1 Ctrl V1; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shCtrl,treatment=vehicle,ip antibody=GR-IA1,,
SRX5289961,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"127806476,80.6,20.8,40492",GSM3579033: GR-IA1 Ctrl V2; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shCtrl,treatment=vehicle,ip antibody=GR-IA1,,
SRX5289962,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"117665613,73.2,19.2,45978",GSM3579034: GR-IA1 Ctrl T1; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shCtrl,treatment=TNF,ip antibody=GR-IA1,,
SRX5289963,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"61597326,76.1,16.2,30220",GSM3579035: GR-IA1 Ctrl T2; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shCtrl,treatment=TNF,ip antibody=GR-IA1,,
SRX5289964,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"43168934,52.1,44.2,11671",GSM3579036: GR-IA1 Ctrl D1; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shCtrl,treatment=dex,ip antibody=GR-IA1,,
SRX5289965,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"46201677,34.8,26.3,7612",GSM3579037: GR-IA1 Ctrl D2; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shCtrl,treatment=dex,ip antibody=GR-IA1,,
SRX5289966,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"56754857,80.0,41.5,9345",GSM3579038: GR-IA1 Ctrl TD1; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shCtrl,treatment=TNF+dex,ip antibody=GR-IA1,,
SRX5289967,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"24077633,78.5,20.0,3720",GSM3579039: GR-IA1 Ctrl TD2; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shCtrl,treatment=TNF+dex,ip antibody=GR-IA1,,
SRX5289968,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"58250659,83.8,48.0,12525",GSM3579040: GR-IA1 shGR V1; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shGR,treatment=vehicle,ip antibody=GR-IA1,,
SRX5289969,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"30691925,71.9,50.9,3922",GSM3579041: GR-IA1 shGR V2; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shGR,treatment=vehicle,ip antibody=GR-IA1,,
SRX5289970,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"29227915,79.4,43.2,6446",GSM3579042: GR-IA1 shGR T1; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shGR,treatment=TNF,ip antibody=GR-IA1,,
SRX5289971,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"55752865,79.5,33.9,17959",GSM3579043: GR-IA1 shGR T2; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shGR,treatment=TNF,ip antibody=GR-IA1,,
SRX5289972,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"63582972,76.1,31.6,21272",GSM3579044: GR-IA1 shGR D1; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shGR,treatment=dex,ip antibody=GR-IA1,,
SRX5289973,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"52631339,80.7,36.7,13768",GSM3579045: GR-IA1 shGR D2; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shGR,treatment=dex,ip antibody=GR-IA1,,
SRX5289974,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"45688883,86.0,35.1,4419",GSM3579046: GR-IA1 shGR TD1; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shGR,treatment=TNF+dex,ip antibody=GR-IA1,,
SRX5289975,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"53174247,86.4,38.1,5619",GSM3579047: GR-IA1 shGR TD2; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shGR,treatment=TNF+dex,ip antibody=GR-IA1,,
SRX5289976,hg38,TFs and others,NR3C1,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"58134427,72.5,11.8,1560",GSM3579048: GR-356 Ctrl V1; Homo sapiens; ChIP-Seq,source_name=Beas-2B airway epithelial cells,lentiviral treatment=shCtrl,treatment=vehicle,ip antibody=GR-356,,
